data,mes,om,anv,etapa,origem,destino,lat_origem,long_origem,lat_dest,long_dest,HORA_DEP,HORA_ARR,TEMPO_DE_VOO,SEGMTO,POUSOS,REAL,CAPOTA,LOCAL_1,QTD_1,LOCAL_2,QTD_2,1P,2P,NV,MC1,MC2,MC3,LM1,LM2,LM3,LM4,LM5,COM,MISSAO,D_N,OFRAG,ORGAO,PROGRAMA,SUBPROG,APLICACAO,COMB,OLEO,PAX_EMBARQ,PAX_DESEMB,PAX_LANCADO,CARGA_EMBARQ,CARGA_DESEMB,CARGA_LANCADA
08/jan.,JAN.,005,2803,1,SBMN,SBBE,-3.130,-59.98,-1.400,-1.400,02:05,05:35,03:30,1,1,03:10,,SBBE,1,,,BRA,JAI,,DNL,,,MOA,BOR,,,,,41TVNO,NOTURNO,210035,COMAE,PAOE,SPAOE,COVID-19,2900,0,1,1,0,0,0,0
08/jan.,JAN.,005,2809,2,SBBE,ROTA,-1.400,-48.45,0.0,0.0,07:20,09:50,02:30,2,0,02:20,,,,,,JAI,BRA,,DNL,,,MOA,BOR,,,,,41TVNO,NOTURNO,,COMAE,PAOE,SPAOE,COVID-19,,,,,,4,,
08/jan.,JAN.,005,2809,2,ROTA,SBMN,0.0,0.0,-3.130,-3.130,09:50,10:20,00:30,3,1,00:20,,SBMN,,,,JAI,BRA,,DNL,,,MOA,BOR,,,,,41TVDI,DIURNO,,COMAE,PAOE,SPAOE,COVID-19,2431,0,0,0,0,0,4,0
09/jan.,JAN.,007,2802,1,SBMN,SBUA,-3.130,-59.98,-0.130,-0.130,11:45,14:00,02:15,1,1,02:00,,,,,,ADR,JAI,,RCO,,,ADO,MAI,,,,,69TV300,DIURNO,210040,COMAE,PEO,SPMAS,FAB,1875,2,4,4,0,1756,1756,0
09/jan.,JAN.,007,2802,2,SBUA,SBMN,-0.130,-66.98,-3.130,-3.130,14:50,17:00,02:10,2,1,02:00,,SBMN,1,,,JAI,ADR,,RCO,,,ADO,MAI,,,,,69TV300,DIURNO,,COMAE,PEO,SPMAS,FAB,1800,0,0,0,0,232,232,0
09/jan.,JAN.,006,2809,1,SBMN,SBUA,-3.130,-59.98,-0.130,-0.130,16:15,18:30,02:15,1,1,02:00,,SBUA,1,,,BOD,ABQ,,DNL,LMA,,MOA,VAN,REG,,,,69TV300,DIURNO,203698,COMAE,PMC-EB,SPMC,EB,1800,2,22,22,0,1566,1566,0
09/jan.,JAN.,008,2802,1,SBMN,ROTA,-3.130,-59.98,0.0,0.0,23:00,24:00,01:00,1,0,00:50,,,,,,PBO,MDO,,RUD,,,LUS,MTO,ROM,,,,69TVNO,NOTURNO,210039,COMAE,PEO,SPMAS,FAB,2470,,2,,,635,,
10/jan.,JAN.,008,2802,1,ROTA,SBBE,0.0,0.0,-1.400,-1.400,00:00,02:25,02:25,2,1,02:20,,SBBE,1,,,PBO,MDO,,RUD,,,LUS,MTO,ROM,,,,69TVNO,NOTURNO,,COMAE,PEO,SPMAS,FAB,2470,0,0,2,0,0,635,0
10/jan.,JAN.,008,2802,2,SBBE,SBMN,-1.400,-48.45,-3.130,-3.130,03:45,06:50,03:05,3,1,03:00,,SBMN,1,,,MDO,PBO,,RUD,,,LUS,MTO,ROM,,,,69TVNO,NOTURNO,,COMAE,PEO,SPMAS,FAB,2230,0,19,19,0,505,505,0
10/jan.,JAN.,006,2809,2,SBUA,SWMK,-0.130,-66.98,0.626,0.626,13:00,13:25,00:25,1,1,,,,,,,ABQ,BOD,,LMA,,,MOA,VAN,REG,,,,69TV300,DIURNO,,COMAE,PMC-EB,SPMC,EB,450,0,7,4,0,2958,2958,0
